Feature,Model,CV_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
EEG,SVM,0.6458333333333333,0.4883720930232558,0.4883720930232558,1.0,0.65625,0.3939393939393939
EEG,Random Forest,0.5839293085655315,0.6511627906976745,0.65,0.6190476190476191,0.6341463414634146,0.7283549783549783
EEG,Neural Network,0.6066666666666667,0.5813953488372093,0.5789473684210527,0.5238095238095238,0.55,0.6125541125541125
HMM,SVM,0.7515274012321509,0.7906976744186046,0.75,0.8571428571428571,0.8,0.8614718614718615
HMM,Random Forest,0.724223565670934,0.7441860465116279,0.8125,0.6190476190476191,0.7027027027027027,0.8658008658008658
HMM,Neural Network,0.767094524167695,0.7906976744186046,0.7142857142857143,0.9523809523809523,0.8163265306122449,0.8593073593073592
