subject_id,epoch_idx,label,State_0_FO,State_1_FO,State_2_FO,State_3_FO,State_4_FO,State_5_FO
sub-01,0,0,0.26936082304014564,2.081390389906976e-06,0.26805218640900413,6.543900804249849e-17,7.931585956935758e-05,0.4625055933008798
sub-01,1,0,0.030611314428145516,1.4799567005108336e-07,0.9118689252387457,5.1469071431837086e-20,0.05734476300772131,0.00017484932970191028
sub-01,2,0,0.5092132949860014,8.787854420623538e-07,0.043633236383974684,2.0217179447152984e-18,0.20077718126569583,0.24637540857888385
sub-01,3,0,0.35797822637675053,2.7504909612102836e-05,0.09052395201582769,9.047382380516811e-16,2.0194483419086754e-06,0.5514682972494764
sub-01,4,0,0.337569192093962,4.652842194157102e-07,0.5079410134252806,6.519427911309598e-19,0.0004905042172463407,0.1539988249792846
sub-01,5,0,0.11976393061707924,2.345688914189312e-06,0.6242131635630072,3.35960927410582e-17,0.003628842148019915,0.25239171798297966
sub-02,1,0,4.66879771912283e-05,1.7675886282874328e-13,2.0938093433140077e-06,2.2346354616592844e-28,0.9999511992799692,1.893331755947375e-08
sub-02,2,1,0.03565338970613528,3.1107355739836754e-10,0.00034822530915096873,2.1370322463115676e-23,0.9636821040554383,0.00031628061820526373
sub-02,3,0,0.0011606822642784044,1.0995932927121875e-07,0.5933397648904286,1.7224086564528784e-19,0.4054004896337955,9.895325217190315e-05
sub-02,4,0,0.0004727642820876712,3.662549069989153e-14,1.0796886653741837e-06,8.37222923857589e-31,0.9995261134084777,4.2620736088173804e-08
sub-02,5,1,0.152009738844939,1.067924853677927e-07,0.2762890961908245,1.1765177179018256e-19,0.5689532991075414,0.0027477590642176796
sub-02,6,0,3.4077923295682685e-05,2.9779339604431852e-08,0.8046796884694339,1.0564130151196488e-20,0.19527231473531625,1.3889092616665155e-05
sub-02,7,0,0.15619921835127284,6.602275022441143e-11,0.00022055067411623134,1.2823379853994285e-23,0.8434935524791622,8.667842941952167e-05
sub-02,8,0,0.1376288683545352,2.3561385878405053e-12,1.2170920831373382e-05,8.405297631522503e-27,0.8623362633401193,2.269738216615682e-05
sub-02,10,1,1.5423487987311903e-05,4.410460259292701e-14,1.5141822608378349e-06,1.3877311208401782e-30,0.9999830488704581,1.3459250330893009e-08
sub-03,0,1,0.788265000281842,2.3840371101315136e-07,0.000123958644480543,1.2831610010845655e-19,0.00031125018557840334,0.21129955248439092
sub-03,1,0,0.01846985956838716,8.277636972950523e-05,0.014074380290803145,1.7968910150746609e-12,2.658444458215955e-05,0.967346399324701
sub-03,3,0,0.0015136327011535378,4.2043293585660716e-05,1.577018313879198e-05,1.0662759524363528e-13,2.9012651881706322e-06,0.9984256525568371
sub-03,4,0,0.2863734325641942,6.344530240946544e-07,3.831732176139164e-05,3.293512339822177e-19,3.217481997110089e-05,0.7135554408410217
sub-03,5,0,0.019864796811222787,0.0012570643070738594,0.4561076183459064,3.273904631704798e-11,3.6069923490040433e-06,0.5227669135106929
sub-03,6,0,0.0009766265107475384,0.0007110810067744443,0.08973669543320906,1.7585441103986822e-11,0.0005049584767503286,0.9080706385549231
sub-03,7,0,0.0028424939902288488,3.360578129438301e-05,0.00031854087892177425,1.6349368161525855e-13,8.604044184984829e-08,0.9968052733089431
sub-03,8,1,0.00014351308873469877,0.0010204388265441817,0.05015620717842317,4.4918589457492915e-11,1.2697427608696432e-09,0.9486798395916269
